Type,Try,Target,Assistant,Error,Time,v1,v3
8,4,22,1,0,1406,1.1109096,0.23942018
8,4,9,1,0,1482,1.0103531,0.047884032
8,4,50,1,0,1753,3.1316159,1.6950948
8,4,94,0,0,710,1.1779473,0.12449849
8,4,34,1,1,2324,5.109226,2.030283
8,4,109,0,0,905,1.7956513,1.0055647
8,4,40,1,0,1426,2.8107927,1.091756
8,4,26,3,1,4212,2.7820623,0.38307226
8,4,39,0,0,809,4.271256,2.6767175
8,4,18,1,0,1808,1.3359646,0.14844051
8,4,102,0,0,914,0.91458505,0.25857377
8,4,80,1,0,1305,1.1827357,0.45010993
8,4,84,0,0,707,2.2984335,0.1388637
8,4,107,0,0,688,2.3654714,0.10055647
8,4,28,1,0,1964,2.15957,0.63206923
8,4,32,1,0,1486,3.4332852,1.9871874
8,4,42,1,0,1418,2.8921957,1.5897499
8,4,25,2,0,2691,3.8259344,2.15957
8,4,5,1,0,1602,1.1923125,0.79008657
8,4,21,1,0,1468,1.2976574,0.32561144
6,0,68,0,1,1495,1.7717092,0.6895301
6,0,79,0,0,666,0.11492168,0.10055647
6,0,65,0,0,1436,5.161899,1.4030021
6,0,45,1,0,669,2.3080103,2.4037786
6,0,67,0,0,538,2.0590134,1.8914193
6,0,87,0,0,592,0.40701428,1.1587936
6,0,51,0,0,681,2.8491,1.8100165
6,0,96,0,1,2531,3.4763808,0.92416185
6,0,70,1,0,653,0.019153614,0.9528923
6,0,89,0,4,3502,4.003105,0.30166942
6,0,10,1,0,1485,5.161899,2.8778305
6,0,45,1,0,684,1.9249382,2.1164744
6,0,49,0,3,2819,4.9416323,2.0638018
6,0,66,1,0,812,2.528277,1.0582372
6,0,4,0,1,4172,5.650316,2.2170308
6,0,58,1,0,1532,4.8937483,1.1348516
6,0,0,1,1,2087,5.827487,2.8634653
6,0,59,1,0,751,3.0597897,1.541866
6,0,46,0,1,1340,2.585738,1.3599066
6,0,64,0,0,1327,5.3965306,0.78050977
6,0,34,1,0,1398,4.9464207,2.1308396
6,0,110,1,0,891,1.0582372,1.3599066
6,0,72,0,0,1330,5.00867,0.4405331
6,0,16,1,0,1355,5.6359506,1.7908629
6,0,1,1,2,2607,5.2720323,2.1930888
6,0,30,1,3,3072,3.2561142,0.78529817
6,0,108,1,0,2198,4.7500963,0.5363012
6,0,44,1,0,829,2.9161377,2.456451
6,0,23,0,0,1262,3.892972,0.90500826
6,0,17,1,1,2006,4.8841715,2.1691468
6,1,68,0,4,5421,2.7629087,1.8531121
6,1,16,0,0,1401,5.9567738,2.1739352
6,1,88,1,0,1278,4.9176903,0.45010993
6,1,3,1,0,1454,5.3725886,2.1212628
6,1,41,1,0,1430,5.0182467,1.3311762
6,1,31,1,1,1643,3.490746,0.076614454
6,1,106,1,1,1469,3.5577838,0.7374141
6,1,83,1,0,728,1.1683705,0.21547815
6,1,77,0,0,851,0.79487497,0.2873042
6,1,18,0,0,1054,5.439626,1.7238252
6,1,101,1,1,1193,0.6703765,0.01436521
6,1,63,0,2,2046,3.2561142,0.45010993
6,1,66,1,0,642,3.3183637,1.460463
6,1,76,0,0,855,2.3750482,0.91458505
6,1,78,0,0,1230,1.0486604,0.90979666
